Matchup,Winner,Total_Turns,P1_Final_HP,P2_Final_HP
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,16,0,130
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,17,0,72
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,130
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,110
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,15,0,110
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,16,0,10
RAJASIKA vs PANDAWA,PANDAWA,16,0,10
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,130
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,50
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,72
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,130
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,130
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,RAJASIKA,11,50,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,10
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,RAJASIKA,16,0,50
RAJASIKA vs PANDAWA,RAJASIKA,16,0,130
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,130
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,10
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,72
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,10
RAJASIKA vs PANDAWA,PANDAWA,16,0,130
RAJASIKA vs PANDAWA,PANDAWA,19,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,17,0,40
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,72
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,14,0,94
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,130
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,RAJASIKA,16,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,16,0,110
RAJASIKA vs PANDAWA,PANDAWA,17,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,72
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,16,0,90
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,17,0,72
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,16,0,112
RAJASIKA vs PANDAWA,PANDAWA,17,0,34
RAJASIKA vs PANDAWA,PANDAWA,16,0,76
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,RAJASIKA,13,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,40
RAJASIKA vs PANDAWA,PANDAWA,13,0,50
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,14,5,0
RAJASIKA vs PANDAWA,PANDAWA,15,0,34
RAJASIKA vs PANDAWA,RAJASIKA,15,0,50
RAJASIKA vs PANDAWA,PANDAWA,14,0,90
RAJASIKA vs PANDAWA,RAJASIKA,15,-5,0
RAJASIKA vs PANDAWA,RAJASIKA,14,0,50
RAJASIKA vs PANDAWA,PANDAWA,13,0,72
RAJASIKA vs PANDAWA,PANDAWA,18,0,112
